S.N0,Rainfall Duration,Rainfall Intensity,Rainfall Accumulation,Soil Moisture,Actual Output
43,0.780108108,0.8,0.012274462,0.002963759,1
44,0.686054054,0.8,0.042759794,0.123938906,1
45,0.408648649,0.6,0.022084618,0.154137784,1
46,0.383243243,0.4,0.013628388,0.121877756,0
47,0.40972973,0.4,0.116605598,0.054286003,0
48,0.386918919,0.6,0.066690587,0.00361324,1
49,0.477945946,0.4,0.02065972,0.159438149,1
50,0.511135135,0.8,0.104473728,0.276682749,1
51,0.386918919,1,0.077488071,0.011348612,1
52,0.660108108,0.2,0.023318882,0.092123815,0
53,0.263351351,0.8,0.072763971,0.036271641,0
54,0.648540541,0.2,0.827316469,0.004948836,1
55,0.56,0.2,0.008584339,0.022765722,0
56,0.878702703,1,0.014760212,0.030028555,0
57,0.412972973,0.8,0.001419746,0.015521122,0
58,0.694378378,1,0.009980551,0.039433548,1
59,0.885405405,0.6,0.03300362,0.007656269,0
60,0.844756757,0.8,0.017628203,0.123168022,0
61,0.845513514,0.2,0.005973867,0.070445778,1
62,0.478702703,0.6,0.013972893,0.132176606,0
63,0.458486486,0.2,0.000256313,0.378527742,1
64,0.92627027,0.8,0.034758169,0.051706311,1
65,0.668432432,0.8,0.023918817,0.002888079,1
66,0.285189189,0.4,0.012149647,0.125881515,0
67,0.853297297,1,0.534457018,0.038193436,1
68,0.293405405,0.6,0.007839445,0.012453128,0
69,0.514594595,0.2,0.059667982,0.053990182,0
70,0.701945946,0.8,0.063780171,0.008459187,1
71,0.892108108,0.4,0.047253992,0.018350295,0
72,0.965297297,0.4,0.006866877,0.224721459,0
73,0.362918919,0.4,0.02047034,0.025434053,1
74,0.924108108,0.4,0.001248329,0.007980365,1
75,0.750594595,0.8,0.035038387,0.147137391,1
76,0.951027027,0.4,0.04155389,0.014297896,1
77,0.783459459,0.4,0.011157724,0.045194053,0
78,0.271891892,0.8,0.024282909,0.007838373,0
79,0.925405405,0.8,0.004788479,0.11992561,1
80,0.291459459,0.4,0.022446714,0.035378738,0
81,0.945837838,0.4,0.017978323,0.08001352,1
82,0.996540541,0.4,0.018612096,0.428073773,0
83,0.732432432,0.8,0.080586799,0.009723534,0
84,0.638702703,0.2,0.021816979,0.011939691,0
85,0.626162162,0.6,0.241662087,0.014300477,1
86,0.924432432,1,0.021634098,0.015816662,0
87,0.604,1,0.022558439,0.138090323,1
88,0.752972973,0.6,0.091444486,0.080604881,1
89,0.404648649,0.8,0.051872679,0.000861992,0
90,0.351027027,0.4,0.263770191,0.004519495,1
91,0.444972973,0.2,0.013727859,0.022885273,0
92,0.628324324,0.4,0.0132649,0.01670979,0
93,0.600864865,0.2,0.124402014,0.020056942,1
94,0.654918919,0.8,0.023852906,0.005247237,1
95,0.370702703,0.8,0.090824035,0.042536157,1
96,0.613081081,0.6,0.042691933,0.091005386,0
97,0.218810811,0.4,0.069051662,0.202412791,1
98,0.427783784,0.4,0.01515466,0.093091725,0
99,0.680540541,0.4,0.059869337,0.052809425,0
100,0.226378378,0.4,0.079393288,0.012062889,1
101,0.360972973,0.8,0.009194439,0.290834502,0
102,0.860972973,0.4,0.003325938,0.06168359,1
103,0.568324324,0.2,0.013863814,0.092123815,0
104,0.591027027,0.2,0.058241691,0.022495316,0
105,0.600324324,0.6,0.00677098,0.028696213,1
106,0.804540541,0.6,0.083825566,0.054059804,1
107,0.924324324,0.6,0.029158791,0.188280785,1
108,0.37427027,1,0.003305654,0.023588836,0
109,0.748,0.4,0.011829744,0.171486171,1
110,0.644540541,0.4,0.02533225,0.033078878,0
111,0.940540541,0.4,0.040016803,0.006309846,0
112,0.314054054,0.8,0.002353138,0.005490266,0
113,0.605189189,0.4,0.007650204,0.133690379,1
114,0.814594595,0.4,0.001360147,0.062121066,1
115,0.589945946,0.6,0.0036671,0.022495316,1
116,0.569513514,0.6,0.004798923,0.018738401,0
117,0.466054054,1,0.003421324,0.011377896,0
118,0.515243243,0.2,0.057286019,0.092449425,0
119,0.466594595,1,0.157492388,0.182593661,0
120,0.596,0.2,0.192814751,0.015056157,1
121,0.493081081,0.4,0.254836428,0.028696213,0
122,0.670486486,0.8,0.12787927,0.289907209,1
123,0.397405405,0.8,0.016249768,0.005209593,0
124,0.520324324,0.2,0.021631916,0.125881515,0
125,0.331675676,0.2,0.1977364,0.088358149,1
126,0.727783784,0.4,2.40E-05,0.048022272,1
127,0.939027027,0.2,0.040584478,0.007725105,1
128,0.428108108,0.8,0.005593112,0.032904909,0
129,0.737837838,0.8,0.016141849,0.006731052,0
130,0.375459459,0.6,0.001779242,0.101405386,0
131,0.298594595,0.6,0.16461632,0.158620309,0
132,0.797189189,1,0.015620219,0.015440393,1
133,0.660540541,0.2,0.060586892,0.194894867,0
134,0.611675676,0.2,0.010859915,0.070226928,0
135,0.533945946,0.2,0.11745725,0.224541655,0
136,0.504648649,0.6,0.000187198,0.07954244,0
137,0.575135135,0.8,0.119492295,0.014786255,1
138,0.311027027,1,0.019155449,0.139266087,0
139,0.916,0.4,0.108393335,0.036919944,1
140,0.835567568,0.8,0.000541636,0.000971669,1
141,0.623135135,0.4,0.005966023,0.104685891,0
142,0.799567568,0.8,0.023502785,0.049310238,1
143,0.918486486,1,0.036543957,0.003503843,0
144,0.373621622,0.6,0.072336706,0.00649223,1
145,0.704540541,0.2,0.001674898,0.022641066,1
146,0.798486486,0.2,0.069447364,0.016452062,0
147,0.93827027,0.2,0.07865958,0.010020252,1
148,0.358378378,0.8,0.010969087,0.001806115,1
149,0.736540541,0.6,0.016490995,0.144409032,1
150,0.722378378,0.6,0.02211516,0.044281571,1
151,0.876540541,0.2,0.022885861,0.096994727,1
152,0.507783784,0.4,0.035132241,0.041700421,0
153,0.748108108,0.6,0.524103973,0.196381767,0
154,0.431675676,0.4,0.192223589,0.093311024,0
155,0.610486486,0.6,0.089783559,0.020627826,0
156,0.466054054,0.4,0.026506591,0.002764937,0
157,0.980324324,0.2,0.014584153,0.141419018,1
158,0.705189189,0.2,0.063240949,0.010169481,0
159,0.341945946,0.2,0.064581415,0.00340359,0
160,0.27372973,0.2,0.033972614,0.031969144,0
161,0.413945946,1,0.007799016,0.007095989,0
162,0.430054054,0.6,0.02392072,0.01067439,1
163,0.901513514,0.8,0.017842555,0.003345077,0
164,0.74627027,0.8,0.069792564,0.03927798,0
165,0.861189189,0.8,0.007482362,0.012853801,1
166,0.907675676,0.4,0.084395655,0.076550743,0
167,0.331675676,0.4,3.20E-05,0.196381767,0
168,0.625837838,0.8,0.060605412,0.100769593,0
169,0.275891892,0.2,0.032213331,0.059808191,0
170,0.858594595,0.2,0.115506081,0.008435456,1
171,0.853621622,0.2,0.113186084,0.212370098,1
172,0.579351351,0.8,0.024052451,0.026863619,1
173,0.859027027,0.4,0.014593112,0.007604376,0
174,0.439459459,0.4,0.204918214,0.082663562,1
175,0.792972973,0.4,0.170704929,0.032979187,1
176,0.488540541,0.8,0.130330765,0.071151192,1
177,0.575459459,0.4,0.015156981,0.192684769,0
178,0.500432432,0.2,0.095948756,0.015221262,0
179,0.980864865,0.4,0.105779707,0.058453633,1
180,0.603135135,0.6,0.044914965,0.068140926,1
181,0.304,0.2,0.060508076,0.293181823,0
182,0.597297297,1,0.149711242,0.017769032,1
183,0.921513514,0.6,0.083166543,0.018495708,1
184,0.952756757,0.6,0.089809367,0.002161066,1
185,0.62,0.4,0.017892221,0.08312,0
186,0.857405405,0.8,0.027533606,0.028715512,1
187,0.244972973,0.6,0.094819857,0.004254362,0
188,0.491783784,0.2,0.051366552,0.110862833,0
189,0.674054054,1,0.041584896,0.242445161,0
190,0.833297297,1,0.155378435,0.008148107,1
191,0.792324324,0.4,0.039898348,0.202412791,0
192,0.563135135,0.4,0.004842183,0.108515961,1
193,0.915891892,1,0.077698478,0.25251338,0
194,0.326702703,0.6,0.001345154,0.003796858,1
195,0.596108108,0.4,0.037963284,0.012699243,0
196,0.254054054,0.2,0.040766803,0.00484533,0
197,0.624108108,0.2,0.027259515,0.05837021,1
198,0.611135135,0.8,0.013899276,0.006045722,0
199,0.563135135,0.4,0.004842183,0.108515961,1
200,0.736,1,0.061725399,0.292369649,0
201,0.899675676,0.6,0.039053426,0.001806115,0
202,0.837189189,0.4,0.019697456,0.028440954,1
203,0.938486486,0.2,0.076455162,0.01118087,1
204,0.373297297,1,0.020967091,0.202233885,0
205,0.345513514,0.8,0.005682835,0.017100084,0
206,0.686594595,0.6,0.059966673,0.153077588,0
207,0.981297297,0.8,0.017552869,0.054973857,1
208,0.388216216,0.2,0.00896839,0.094742272,0
209,0.319243243,1,0.025492991,0.107723703,0
210,0.928540541,0.4,0.004049294,0.073187377,1
211,0.791459459,0.6,0.011390874,0.010783226,1
212,0.635675676,0.2,0.370298273,0.002734811,0
213,0.634702703,0.8,0.051841116,0.145677251,1
214,0.512432432,0.2,0.088953166,0.107459972,0
215,0.793297297,1,0.03674081,0.228941318,1
216,0.92627027,1,0.019550641,0.103362693,0
217,0.823243243,0.4,0.019997076,0.045695203,1
218,0.657081081,1,0.004190308,0.005371501,0
219,0.767783784,1,0.026304261,0.057314502,1
220,0.530486486,0.4,0.131186641,0.266977055,0
221,0.552864865,1,0.06162862,0.087945414,0
222,0.542162162,0.6,0.000776968,0.216002693,0
223,0.607351351,1,0.018681535,0.020002973,0
224,0.436324324,1,0.041013786,0.183240617,0
225,0.769837838,0.2,0.037779289,0.02108892,1
226,0.659135135,0.2,0.019046092,0.026494418,0
227,0.807459459,1,0.012581508,0.057719663,0
228,0.625621622,0.2,0.018711706,0.221665414,1
229,0.558054054,0.2,0.113317861,0.046645778,0
230,0.30572973,0.4,0.113170349,0.008306143,0
231,0.844648649,0.6,0.007893799,0.004443086,1
232,0.766594595,0.8,0.001334153,0.072915456,0
233,0.887459459,0.2,0.012322456,0.035090435,0
234,0.651675676,0.2,0.003271816,0.001232763,0
235,0.277297297,0.6,0.043745962,0.130262384,0
236,0.454918919,0.4,0.009772744,0.094742272,1
237,0.609945946,0.6,0.002675176,0.073760898,1
238,0.469513514,0.6,0.17202112,0.10333195,1
239,0.949513514,0.8,0.002741645,0.001040224,1
240,0.437297297,0.2,0.152334618,0.015770435,1
241,0.589513514,0.6,0.027250789,0.038831641,0
242,0.907567568,0.8,0.127634608,0.138434165,0
243,0.455675676,0.8,0.058020609,0.017260533,0
244,0.295027027,0.6,0.012768335,0.078055652,1
245,0.648648649,1,0.069959107,0.076069565,0
246,0.315783784,0.4,0.027464955,0.042010098,0
247,0.616540541,0.4,0.136544049,0.010276802,1
248,0.359351351,0.2,0.008133262,0.074651445,0
249,0.797621622,0.4,0.505528593,0.002635905,0
250,0.616108108,0.2,0.002134701,0.005280112,0
251,0.829081081,0.4,0.07505946,0.032665863,0
252,0.874378378,0.2,0.008513322,0.1542069,1
253,0.627243243,0.4,0.00992694,0.045134755,1
254,0.584864865,0.6,0.077021909,0.012423114,0
255,0.458918919,0.4,0.077314148,0.003895259,1
256,0.502486486,1,0.029187105,0.011514895,0
257,0.618378378,1,0.049821017,0.192684769,0
258,0.625405405,0.8,0.016398115,0.31497324,0
259,0.885837838,0.8,0.102600678,0.02301986,1
260,0.384972973,0.4,0.001298227,0.059416662,1
261,0.230918919,0.4,0.001230087,0.003806676,0
262,0.785945946,0.4,0.050178611,0.017202188,1
263,0.453189189,0.6,0.008502785,0.023000954,0
264,0.794054054,1,0.028139668,0.150357195,1
265,0.73372973,0.4,0.045590373,0.028598654,0
266,0.765945946,0.8,0.053108383,0.002715568,1
267,0.397621622,1,0.184436688,0.004713043,1
268,0.942486486,0.6,0.001005245,0.009488359,0
269,0.520324324,0.4,0.058868827,0.015190182,0
270,0.974054054,0.2,0.005019913,0.055102048,0
271,0.783135135,1,0.034124072,0.027909453,0
272,0.887459459,0.2,0.002359915,0.006846283,0
273,0.994594595,1,0.075248468,0.013665919,0
274,0.991567568,0.2,0.024365624,0.018062553,0
275,0.815459459,1,0.143911298,0.032182048,0
276,0.290378378,0.8,0.018005245,0.10333195,1
277,0.88172973,0.2,0.003708271,0.167418682,0
278,0.395135135,0.4,0.009527154,0.254333015,0
279,0.454810811,0.4,0.01110894,0.048219187,0
280,0.616108108,0.2,0.008063219,0.154559944,0
281,0.524216216,0.2,0.122788062,0.000661431,0
282,0.476216216,0.6,0.064901225,0.007671529,0
283,0.816216216,0.4,0.013302776,0.007095989,0
284,0.735891892,0.8,0.059320878,0.08312,1
285,0.816108108,0.4,0.023981248,0.038201964,1
286,0.374054054,0.8,0.020526179,0.034507882,0
287,0.384540541,1,0.021145238,0.030494979,0
288,0.323243243,0.6,0.040397094,0.011811725,0
289,0.806162162,1,0.029669653,0.0038331,1
290,0.902162162,0.2,0.002046742,0.173448808,1
291,0.820972973,0.2,0.046194393,0.045231641,0
292,0.605621622,0.4,0.017139157,0.03926878,1
293,0.559243243,0.8,0.113186084,0.003796858,1
294,0.486918919,1,0.00677409,0.278232146,0
295,0.944,0.4,0.10561697,0.081331332,0
296,0.336648649,0.2,0.00602669,0.011998766,0
297,0.944540541,0.2,0.127573756,0.007084712,1
298,0.495135135,0.4,0.003550362,0.108056325,0
299,0.845621622,1,0.009729484,0.021241403,0
300,0.479891892,0.6,0.103941747,0.02743899,1
301,0.587459459,0.6,0.033765782,0.057265526,0
302,0.65772973,1,0.010316515,0.069502609,0
303,0.921621622,0.4,0.093208875,0.060645105,1
304,0.329081081,0.8,0.111979113,0.073132454,0
305,0.861081081,0.2,0.130852395,0.148406508,0
306,0.507243243,0.2,0.058812198,0.07567568,0
307,0.959567568,1,0.002536669,0.117768527,1
308,0.583567568,0.6,0.013813034,0.161545414,1
309,0.420540541,0.8,0.050176337,0.002906872,1
310,0.621081081,0.8,0.012467833,0.044403647,1
311,0.551891892,0.4,0.044914965,0.02434244,0
312,0.359351351,0.2,0.048098728,0.01845021,0
313,0.857945946,0.8,0.087674991,0.000971669,1
314,0.836756757,1,0.00784534,0.039714839,1
315,0.614810811,1,0.042216116,0.060110519,1
316,0.555459459,0.4,0.015218065,0.042224741,0
317,0.758918919,0.6,0.058104113,0.004392987,1
318,0.395783784,0.2,0.009383819,0.197596241,0
319,0.928540541,0.4,0.198707157,0.235514222,0
320,0.726702703,0.8,0.027226095,0.131977055,0
321,0.369621622,1,0.009113489,0.016265806,0
322,0.397621622,1,0.010143613,0.999927405,1
323,0.939891892,0.4,0.012613071,0.029548275,0
324,0.944324324,0.2,0.024449777,0.021446059,0
325,0.599027027,0.6,0.004083457,0.055131837,1
326,0.625837838,1,0.020373236,0.07505094,0
327,0.947027027,0.6,0.0030408,0.042659804,1
328,0.542810811,0.2,0.087392499,0.018467433,1
329,0.707891892,0.6,0.014931211,0.010989341,1
330,0.836864865,0.6,0.013762857,0.019386031,1
331,0.290054054,1,0.026062709,0.086137616,0
332,0.808648649,0.4,0.08831192,0.045175203,1
333,0.685297297,0.4,0.022398255,0.019300477,1
334,0.497081081,0.8,0.171956368,0.048169986,0
335,0.500972973,0.6,0.020152896,0.076550743,0
336,0.644432432,0.8,0.030205765,0.113616494,0
337,0.624648649,0.2,0.079177683,0.009740421,0
338,0.672324324,0.4,0.117781517,0.006711697,1
339,0.650594595,0.4,0.023795535,0.006863506,1
340,0.662594595,0.8,0.021540707,0.053807237,1
341,0.632324324,1,0.011685434,0.216190014,1
342,0.444648649,0.2,0.111207297,0.110064404,1
343,0.358378378,0.2,0.052592973,0.010637083,1
344,0.674918919,0.2,0.040020563,0.15502446,0
345,0.985837838,0.8,0.070135212,0.026604656,0
346,0.729621622,0.6,0.013874025,0.017772567,0
347,0.955567568,0.2,0.11195428,0.024943506,1
348,0.575891892,0.4,0.019768056,0.082436578,0
349,0.544108108,0.8,0.063619709,0.005280112,0
350,0.722594595,0.6,0.061306535,0.000425133,1
351,0.549405405,1,0.02901606,0.022170379,0
352,0.374918919,0.6,0.266806535,0.01391136,0
353,0.911459459,0.8,0.004221779,0.024169257,1
354,0.219675676,1,0.018392406,0.076635175,0
355,0.357189189,0.4,0.047380152,0.094742272,1
356,0.514702703,0.2,0.072272094,0.100769593,1
357,0.831459459,0.4,0.021996287,0.074845217,0
358,0.745513514,1,0.005069671,0.221665414,1
359,0.823675676,0.8,0.125037412,0.00296432,0
360,0.646162162,0.2,0.00749638,0.017133015,1
361,0.289621622,0.8,0.012296742,0.21529223,1
362,0.297297297,0.8,0.14104261,0.161545414,0
363,0.825297297,0.2,0.013777804,0.007984965,0
364,0.651567568,1,0.006223078,0.027617335,0
365,0.539783784,0.6,0.08684715,0.023000954,0
366,0.331891892,0.8,0.117460128,0.092144909,0
367,0.325081081,0.8,0.027259515,0.032221318,0
368,0.469621622,0.4,0.027873793,0.002764937,0
369,0.680756757,0.8,0.019699313,0.01512129,0
370,0.954918919,1,0.1178465,0.042536157,0
371,0.655891892,0.2,0.002517174,0.034092847,1
372,0.496108108,0.6,0.034491877,0.022885273,0
373,0.222810811,0.4,0.007699313,0.162171164,1
374,0.244972973,1,0.009634562,0.004838934,1
375,0.806054054,0.2,0.245499861,0.10240892,1
376,0.950054054,0.4,0.008165707,0.016967181,1
377,0.865945946,1,0.010225771,0.030437307,1
378,0.445513514,0.2,0.037709293,0.002879158,0
379,0.917621622,0.6,0.025183114,0.013528191,1
380,0.594054054,0.4,0.127165522,0.182593661,0
381,0.412972973,1,0.040615577,0.005535316,0
382,0.715135135,0.2,0.046625046,0.208550182,1
383,0.647783784,0.2,0.053240253,0.09599209,0
384,0.480432432,0.4,0.044164593,0.094076129,0
385,0.876324324,0.6,0.037997215,0.001390182,1
386,0.478162162,0.6,0.182289872,0.004937335,0
387,0.42,0.2,0.077203351,0.036507882,0
388,0.680432432,0.8,0.013435249,0.311982889,1
389,0.223567568,0.8,0.036045256,0.097418345,1
390,0.243135135,0.8,0.040776504,0.00169756,0
391,0.977189189,0.6,0.021109218,0.097418345,1
392,0.806594595,0.6,0.00778458,0.082663562,1
393,0.466054054,0.2,0.006446064,0.015190182,1
394,0.77027027,0.8,0.036877042,0.026754053,1
395,0.445513514,0.2,0.037709293,0.002879158,0
396,0.375567568,0.8,0.027569764,0.107512314,0
397,0.635243243,0.4,0.02009042,0.052841907,1
398,0.559459459,0.6,0.063465327,0.041700421,0
399,0.670378378,0.4,0.020001253,0.231520281,0
400,0.481945946,0.8,0.019936781,0.002511304,0
401,0.853837838,1,0.012472521,0.219761571,0
402,0.329405405,1,0.210429168,0.09054676,1
403,0.397189189,0.6,0.206852488,0.012064292,0
404,0.926162162,0.6,0.103193372,0.013398261,1
405,0.604432432,1,0.033448013,0.130262384,1
406,0.884864865,1,0.01387254,0.010981431,1
407,0.841081081,0.4,0.011190355,0.088416381,1
408,0.389621622,0.2,0.011908698,0.115995344,0
409,0.358918919,0.8,0.063243827,0.105626031,1
410,0.767135135,0.8,0.015896677,0.073132454,1
411,0.873513514,0.4,0.094819857,0.010094081,0
412,0.804432432,0.2,0.00764533,0.010787041,1
413,0.840432432,1,0.008290522,0.000920673,1
414,0.346594595,0.8,0.07098199,0.112199327,1
415,0.710594595,0.2,0.03378834,0.009684264,1
416,0.237189189,0.2,0.001996472,0.091597195,0
417,0.610486486,1,0.212908745,0.070034614,1
418,0.76227027,0.2,0.002353138,0.108932567,1
419,0.947135135,0.2,0.016294421,0.012517812,0
420,0.746486486,0.8,0.019627971,0.0529223,0
421,0.224648649,0.6,0.005052822,0.158247349,0
422,0.346594595,0.6,0.004504734,0.015770435,1
423,0.643135135,0.8,0.1221658,0.004109902,0
424,0.506054054,0.4,0.005157584,0.050135091,1
425,0.923567568,1,0.083257055,0.128551921,1
426,0.839783784,0.4,0.063065865,0.000572174,1
427,0.384972973,0.6,0.045417471,0.042507882,1
428,0.828972973,0.2,0.0111956,0.008625694,0
429,0.261405405,0.8,0.002077794,0.006434783,0
430,0.774918919,0.6,0.014969644,0.057127293,1
431,0.606486486,0.2,0.138210499,0.057536942,1
432,0.62,0.8,0.027972429,0.087326508,0
433,0.223567568,1,0.087528732,0.001040224,0
434,0.689405405,0.2,0.006421649,0.017516129,1
435,0.756108108,0.8,0.00636943,0.018613408,1
436,0.570594595,1,0.06708601,0.020537111,0
437,0.816108108,0.8,0.011309274,0.032579355,1
438,0.772972973,0.8,0.060605412,0.022178569,1
439,0.981405405,0.6,0.036454187,0.009868724,0
440,0.633945946,0.8,0.084012254,0.106490491,0
441,0.739675676,1,0.013751114,0.004490042,1
442,0.502054054,0.6,0.049415197,0.020056942,0
443,0.742702703,0.4,0.144646955,0.047719046,1
444,0.362486486,0.8,0.089178565,0.008435456,0
445,0.436324324,1,0.041013786,0.183240617,0
446,0.603567568,1,0.022944811,0.107912931,1
447,0.45427027,0.6,0.074299062,0.010111809,0
448,0.911891892,0.4,0.1122092,0.088756634,0
449,0.768540541,0.8,0.012111121,0.013060309,1
450,0.279891892,0.6,0.094963052,0.05947237,0
451,0.558054054,0.2,0.014532538,0.032961627,0
452,0.97772973,0.2,0.064674109,0.032676466,0
453,0.761945946,0.6,0.003557928,0.002971613,1
454,0.979351351,1,0.054583086,0.004207237,0
455,0.824216216,0.2,0.011472939,0.040584011,1
456,0.778162162,0.4,0.121314983,0.082551697,1
457,0.639135135,0.6,0.012906146,0.00278979,1
458,0.56,0.6,0.006888043,0.119934923,0
459,0.693081081,0.2,0.029838563,0.027886452,1
460,0.562162162,0.2,0.006364974,0.153558822,0
461,0.703027027,0.8,0.00422888,0.011214025,1
462,0.629297297,0.8,0.001446899,0.141102553,1
463,0.521189189,0.8,0.083516246,0.154684712,1
464,0.969837838,0.4,0.002929168,0.037333408,1
465,0.223783784,1,0.086624536,0.100652286,0
466,0.737945946,0.6,0.01318186,0.016876858,1
467,0.755243243,0.4,0.091037365,0.100518373,1
468,0.911135135,0.2,0.015706508,0.009119158,1
469,0.374594595,0.6,0.200347521,0.033808583,1
470,0.923783784,0.2,0.069978138,0.182226199,1
471,0.997837838,0.6,0.158639946,0.157903955,1
472,0.709081081,0.2,0.055553797,0.033295933,0
473,0.480432432,0.4,0.064605969,0.015322581,0
474,0.875243243,0.2,0.001669281,0.026145189,1
475,0.602918919,0.2,0.042355598,0.233043534,1
476,0.936756757,1,0.015477024,0.087992931,0
477,0.783027027,0.6,0.061155032,0.082551697,1
478,0.706486486,0.8,0.031417982,0.027131501,1
479,0.959783784,0.2,0.003426847,0.098945077,0
480,0.490162162,0.2,0.086545999,0.064557532,1
481,0.358918919,0.8,0.019070507,0.060645105,0
482,0.267351351,0.4,0.020966116,0.003071529,0
483,0.444648649,0.2,0.006798413,0.027131501,0
484,0.613297297,0.8,0.122788062,0.012423114,1
485,0.346594595,0.4,0.080601652,0.115995344,1
486,0.33772973,0.2,0.004691747,0.039549958,0
487,0.63372973,0.6,0.087251068,0.044815596,1
488,0.606918919,1,0.049109172,0.542509902,0
489,0.949405405,0.2,0.002077841,0.00190906,1
490,0.812324324,0.8,0.080771166,0.34231108,1
491,0.656,0.6,0.003990717,0.170469677,0
492,0.843027027,0.8,0.018869569,0.210314558,1
493,0.838918919,0.6,0.077488071,0.036113268,1
494,0.94,0.8,0.106468808,0.216549004,1
495,0.976972973,0.2,0.004381081,0.013105806,1
496,0.625405405,0.2,0.040766803,0.002839327,1
497,0.895891892,0.8,0.018503806,0.025296381,1
498,0.391135135,0.2,0.038925408,0.00401986,1
499,0.702054054,0.4,0.009766896,0.006741487,1
500,0.86,0.2,0.045855598,0.075849649,0
501,0.828,0.6,0.25811943,0.007887742,1
502,0.572540541,0.4,0.017989835,0.05947237,0
503,0.732108108,0.8,0.004639436,0.08370575,1
504,0.651891892,0.8,0.01874016,0.032443254,0
505,0.302918919,0.4,0.005465698,0.00169756,0
506,0.718918919,0.8,0.07178964,0.012516914,1
507,0.971675676,0.6,0.054496565,0.028414811,1
508,0.962702703,0.2,0.188943975,0.089354053,1
509,0.441297297,0.8,0.013889668,0.015521122,1
510,0.574162162,0.6,0.070435156,0.017758429,1
511,0.721837838,0.2,0.126793864,0.03926878,1
512,0.467027027,0.2,0.010278593,0.062051669,0
513,0.697945946,0.4,0.175744662,0.035615764,0
514,0.92972973,0.4,0.149123097,0.077395119,1
515,0.788324324,1,0.111177776,0.010707714,1
516,0.920540541,1,0.012885676,0.020479327,1
517,0.992108108,0.6,0.003513832,0.112191697,1
518,0.714054054,1,0.02533225,0.028663675,0
519,0.970810811,0.4,0.06178783,0.010770996,0
520,0.830162162,0.4,0.050972661,0.176018457,1
521,0.311243243,0.2,0.015241831,0.133206508,0
522,0.328864865,0.2,0.155906285,0.16141756,0
523,0.378162162,1,0.020628342,0.094450435,0
524,0.643027027,0.2,0.024512347,0.005280112,1
525,0.949189189,0.6,0.009104809,0.235056662,0
526,0.691567568,1,0.024049109,0.049067882,1
527,0.278486486,0.2,0.148730691,0.135396353,1
528,0.888,0.6,0.136332993,0.008423114,0
529,0.756216216,0.2,0.023397048,0.001158317,1
530,0.683135135,0.6,0.040398394,0.154137784,1
531,0.454162162,1,0.005875325,0.011382384,0
532,0.390486486,0.8,0.043693279,0.051540421,0
533,0.791135135,0.2,0.039296649,0.032283983,1
534,0.721621622,0.6,0.0075259,0.001373128,1
535,0.35372973,0.8,0.00764533,0.000853184,0
536,0.612324324,0.6,0.037652757,0.105371276,0
537,0.925405405,0.8,0.167837217,0.136997139,0
538,0.879459459,0.4,0.047204651,0.008723983,1
539,0.347459459,0.6,0.000958364,0.001207461,1
540,0.484864865,0.6,0.076221082,0.003025358,0
541,0.437081081,0.4,0.00790466,0.197596241,0
542,0.679567568,0.4,0.001974796,0.088870351,0
